PubAddress,Longitude,Latitude,PubName,DayofQuiz,QuizWinnings,QuizEntryCost,EntryCost,QuizStartTime,PubPhoneNumber,PubWebsite,Frequency,SmartphoneQuiz,VerifiedOngoing
"134 West George Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 2HG",-4.256781731,55.86243495,The Merchant,Monday,1st – £50 cash; 2nd – a beer tower of selected beer or cider; 3rd – a pint or 2 shots of your choosing. There is also a jackpot that changes from week to week and can reach hundreds of pounds,£2 per head,pay,7:00pm, 0141 353 3926,https://www.greatukpubs.co.uk/merchant-glasgow,Weekly,Yes,Yes
"134 West George Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 2HG",-4.256781731,55.86243495,The Merchant,Thursday,"1st – £50 bar tab; 2nd – 8 pints; 3rd – free pint .  There is also the chance to win the cash jackpot, which rolls up if not won and can reach £1,000.  Big giveaways every quarter",£2 per head,pay,8:00pm, 0141 353 3926,https://www.greatukpubs.co.uk/merchant-glasgow,Weekly,Yes,Yes
"131 Old Castle Road, South Side, Glasgow, Lanarkshire, Scotland, G44 5TJ",-4.257381188,55.81515766,The Old Smiddy,Monday,"£20 food/drink voucher for winners; also, a chance to win a jackpot of the entry fee cash",£2 per team,pay,9:00pm,0141 637 3284,https://www.greatukpubs.co.uk/old-smiddy-cathcart,Weekly,No,Yes
"315 Woodlands Road, Woodlands, Glasgow, Lanarkshire, Scotland, G3 6NG",-4.278505215,55.87228183,The Old Schoolhouse,Monday,£25 Belhaven gift card for winners,free,free,9:00pm,0141 337 1790,https://www.belhaven.co.uk/pubs/glasgow/old-schoolhouse,Weekly,Yes,Yes
"1 Paisley Road West, Govan, Glasgow, Lanarkshire, Scotland, G51 1LF",-4.279134741,55.85367644,The Old Toll Bar,Wednesday,"Case of beer for winners.  Also, there are prizes for bonus rounds – a bottle of Buckfast and a cuddly toy!",free,free,7:30pm,0141 258 4830,https://www.facebook.com/theoldtollbarglasgow/?locale=en_GB,Weekly,No,No
"28 Vinicombe Street, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8BE",-4.290854083,55.87721554,The Parlour,Monday,1st – £100 bar tab; 2nd – bottle of tequila; 3rd – bottle of wine,free,free,8:00pm,0141 560 8004,https://www.theparlourwestend.co.uk/,Weekly,No,Yes
"205 Hyndland Road, West End, Glasgow, Lanarkshire, Scotland, G12 9HE",-4.303738527,55.87495609,The Rock,Thursday,"1st – meal for 4; 2nd – bottle of wine; last – packet of nuts.  Also, there is “Play Your Cards Right” for a roll-up cash prize – entry by purchase of raffle tickets",free,free,8:00pm,0141 334 6977,https://www.therockglasgow.co.uk/#/,Weekly,No,Yes
"52 Coustonholm Road, South Side, Glasgow, Lanarkshire, Scotland, G43 1UF",-4.287371554,55.82553626,The Quaich,Sunday,£25 gift card for winners,free,free,8:00pm,0141 632 9003,https://www.belhaven.co.uk/pubs/glasgow/quaich,Weekly,No,No
"176 Fulton Street, Temple, Glasgow, Lanarkshire, Scotland, G13 1",-4.330956401,55.89602803,The Signal Box,Thursday,"£30 bar tab for winners; also, there is a cash jackpot, which rolls over if not won",£1 per head. Maximum team size is 4,pay,7:30pm,0141 230 7964,https://www.facebook.com/SignalBoxGlasgow/,Weekly,No,No
"185 Great Western Road, Woodlands, Glasgow, Lanarkshire, Scotland, G4 9EB",-4.272935569,55.87251087,The Scallion ,Tuesday,£50 bar tab for winners.,free,free,8:00pm,0141 332 4699,https://thescallion.co.uk/,Weekly,No,Yes
"979 Sauchiehall Street, West End, Glasgow, Lanarkshire, Scotland, G3 7TQ",-4.286869319,55.86622993,The Snaffle Bit,Thursday,Vouchers,free,free,8:30pm,0141 339 7163,https://www.belhaven.co.uk/pubs/glasgow/snaffle-bit,Weekly,No,Yes
"16 Dowanhill Street, Partick West, Glasgow, Lanarkshire, Scotland, G11 5QS",-4.300509349,55.8714939,The Sparkle Horse,Monday,First prize is a moderately generous £51.15 bar tab. Second prize of £25 bar tab and third prize wins you a bottle of acceptable wine.,free,free,7:30pm,0141 562 3175,https://thesparklehorse.com/,Weekly,No,Yes
"151 West George Street, Merchant City, Glasgow, Lanarkshire, Scotland, G2 2JJ",-4.257290244,55.8624362,The Society Room,Wednesday,Winners receive cash from entry fees,£3 per head,pay,8:00pm,0141 229 7560,https://www.jdwetherspoon.com/pubs/the-society-room-glasgow,Weekly,Yes,No
"724 Dumbarton Road, Hayburn, Glasgow, Lanarkshire, Scotland, G11 6RB",-4.32151708,55.87094958,The Thornwood,Wednesday,£50 bar tab for winners,free,free,7:30pm,0141 334 5059,https://www.thethornwoodbar.com/,Weekly,No,Yes
"129 Hamilton Road, Sandyhills, Glasgow, Lanarkshire, Scotland, G32 9QW",-4.1477602,55.83957127,The Woodend,Thursday,"Winners play “Open the Box” for a cash prize, which increases by £25 per week if not won.  There is also a raffle (£1 per ticket) for the chance to win cash in a “Play Your Cards Right” game",free; maximum of 6 per team,free,8:00pm, 0141 778 1088,https://www.facebook.com/thewoodendpub#,Weekly,Yes,Yes
"214 Bath Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 4HW",-4.264378652,55.86478377,The Tiki Bar,Monday,£100 cash for winners,free,free,7:30pm,0141 332 1341,https://www.tikibarglasgow.com/,Weekly,No,No
"501 Crow Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 7DN",-4.32629717,55.8822358,Three Craws ,Tuesday,"Winners have choice of 3 envelopes – £5, £10 or the jackpot",£1 per head,pay,9:30pm,0141 950 4518,https://www.emberinns.co.uk/nationalsearch/scotlandandnorthernireland/the-three-craws-glasgow#/,Weekly,No,No
"141 Dumbarton Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 6PR",-4.299296152,55.87043019,The Three Judges,Monday,£30 bar tab for winners,free,free,9:00pm,0131 337 3055,https://www.greatukpubs.co.uk/three-judges-glasgow,Weekly,No,Yes
"501 Crow Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 7DN",-4.32629717,55.8822358,Three Craws ,Sunday,"Winners have choice of 3 envelopes – £5, £10 or the jackpot",£1 per head,pay,9:30pm,0141 950 4518,https://www.emberinns.co.uk/nationalsearch/scotlandandnorthernireland/the-three-craws-glasgow#/,Weekly,No,No
"44 London Road, Calton, Glasgow, Lanarkshire, Scotland, G1 5NB",-4.243090294,55.85606935,Vinyl ,Thursday,"£25 bar tab for winners; in addition, one person from the winning team has the chance to answer a bonus question to win a round of shots. There are also other prizes which vary from week to week",free,free,8:00pm,0141 286 3714,https://www.facebook.com/VinylBarG1/,Weekly,No,Yes
"58 Nithsdale Road, South Side, Glasgow, Lanarkshire, Scotland, G41 2AN",-4.271544593,55.83687584,Titwood Bar,Monday,"£30 bar tab for winners; also, there is a “Play Your Cards Right” game for a cash jackpot, which rolls over if not won",free,free,8:00pm,0141 433 9162,https://proper-pubs.com/our-proper-pubs/129-titwood-glasgow/,Weekly,No,No
"78 Candleriggs, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1",-4.24537888,55.858794,Vodka Wodka Merchant Square ,Tuesday,1st – bottle of spirits; 2nd – cocktail jug; 3rd – round of shots,free,free,8:00pm,0141 260 1292,https://www.vodkawodka.fun/,Weekly,No,Yes
"5 Greendyke Street, Calton, Glasgow, Lanarkshire, Scotland, G1 5PU",-4.245634537,55.85416905,Whistler on the Green ,Thursday,"£30 voucher for winners, plus other prizes",free,free,7:30pm,0141 321 4609,https://www.whistleronthegreen.co.uk/,Weekly,No,Yes
"226 Great Western Road, Woodlands, Glasgow, Lanarkshire, Scotland, G4 9AE",-4.271837083,55.87223135,Wintersgills ,Sunday, Cash; also a rollover prize,£1 per head,pay,8:00pm,0141 332 3532,https://www.belhaven.co.uk/pubs/glasgow/wintersgills,Weekly,No,No
